#
# quests.txt
#
# format of each line is:
#
#   location, description, gvar_index, display_threshold, completed_threshold
#
# where:
#
#   location is the number of the message in map.msg describing the location
#
#   description is the number of the message in quest.msg with the quest description.
#
#   gvar_index is the GVAR_* number for the variable controlling the quest.
#
#   display_threshold is the minimum value that the gvar must be for this quest
#     to be displayed in the pipboy.
#
#   completed_threshold is the minimum value that the gvar must be for this quest
#     to be shown as completed in the pipboy.
#


#####
# Arroyo Quests
#####
# Kill the Evil Plants
# Arroyo, GVAR_KILL_EVIL_PLANTS, Quest_Accepted, Quest_Completed
1500, 100, 9, 2, 6
# Sharpen your Spear
# Arroyo, GVAR_ARROYO_SPEAR, Spear_Get_Flint, Spear Finished
1500, 110, 183, 1, 3
# Recover Smoke for Nagor
# Arroyo, GVAR_ARROYO_DOG, Dog_Accepted, Dog_FInished_Good
1500, 120, 191, 1, 3
# Return the GECK
1500, 130, 480, 0, 1
# Find Vic
1500, 140, 619, 1, 2

#####
# Den Quests
#####
# FREE VIC
1501, 200, 100, 1, 2
# INFO ON BECKY DRINKS
1501, 201, 101, 1, 2
# SABOTAGE STILL
1501, 202, 101, 2, 3
# SMITTY CAR PART
1501, 203, 550, 1, 2
# ANNA LOCKET
1501, 204, 551, 1, 2
# COLLECT MONEY FROM FRED
1501, 205, 371, 1, 2
# GET BOOK FROM DAREK
1501, 206, 371, 3, 4
# DELIVER SMITTY MEAL
1501, 207, 450, 1, 2
# INVESTIGATE CHURCH
1501, 208, 454, 1, 2
# METZGER PERMISSION
1501, 209, 454, 2, 3
# FIND WEAKNESS
1501, 210, 454, 4, 5
# HELP ATTACK
1501, 211, 454, 6, 7
# ORPHANAGE
1501, 212, 728, 1, 3

#####
# Klamath Quests
#####
# Refuel the Still.
1502, 300, 198, 1, 3
# Rescue Smiley the Trapper.
1502, 301, 197, 1, 2
# Guard the Brahmin.
1502, 302, 182, 1, 2
# Rustle the Brahmin.
1502, 303, 102, 1, 2
# Kill the rat God.
1502, 304, 390, 1, 2
# Rescue Torr.
1502, 305, 391, 1, 2
# Find Rustlers
1502, 306, 734, 1, 2

#####
# Modoc Quests
#####
# WATCH SEED CORNELIUS
1503, 401, 105, 4, 7
# WATCH SEED FARREL
1503, 402, 106, 4, 7
# JONNY MISSING SEED
1503, 403, 693, 1, 2
# JONNY COME HOME SEED
1503, 404, 693, 3, 4
# GARDEN SEED
1503, 405, 110, 4, 7
# GHOST FARM SEED
1503, 400, 631, 1, 2
# DELIVER MESSAGE
1503, 406, 631, 2, 3
# FIND KARL/BODY INFO
1503, 407, 631, 4, 5
# SEND KARL HOME
1503, 408, 631, 5, 6
# GUARD BRAHMIN
1503, 409, 107, 4, 7
# bring hides to Balthas, GVAR_BRINGX_HIDES
1503, 421, 647, 1, 2

#####
# Vault City Quests
#####
# PLOW SEED
